Cabinet Member,2020 - Present Cabinet Role,Primary (Incomplete),Secondary,Tertiary,Bachelor's Degree,Master's Degree,Doctorate Degree,All Degrees,Subject of Study (Verbatim),Subject (Category),Number of Degrees,Uni Countries,Scholarships Received (Incomplete),Source,,,,,,,,,,,,,,
Grace Fu,Minister for Sustainability and the Environment,,Nanyang Girls' High School,Hwa Chong Junior College,National University of Singapore (Accountancy),National University of Singapore (Business Administration),,National University of Singapore (Accountancy)National University of Singapore (Business Administration),"Accountancy, Business Administration",Accountancy; Business Administration,2,SG,,https://www.pmo.gov.sg/cabinet/ms-grace-fu-hai-yien; https://www.sysnmh.org.sg/en/whats-on/exhibitions/the-nanyang-journey---inspiring-generations-of-esteemed-ladies; https://www.straitstimes.com/singapore/10-prominent-singaporeans-who-graduated-from-hwa-chong-junior-college,,,,,,,,,,,,,,
Chan Chun Sing,Minister for Trade and Industry,,Raffles Institution,Raffles Junior College,University of Cambridge (Economics),Massachusetts Institute of Technology (Business Administration),,University of Cambridge (Economics)Massachusetts Institute of Technology (Business Administration),"Economics, Business Administration",Economics; Business Administration,2,"UK, US","SAF Overseas Scholarship (1989), President's Scholarship, Lee Kuan Yew Scholarship",https://www.pmo.gov.sg/cabinet/mr-chan-chun-sing; https://www.linkedin.com/in/chan-chun-sing/,,,,,,,,,,,,,,
Lawrence Wong,Minister for Education and Second Minister for Finance,,Tanjong Katong Secondary School,Victoria Junior College,University of Wisconsin-Madison (Economics),"University of Michigan-Ann Arbor (Economics), Harvard Kennedy School (Public Administration)",,"University of Wisconsin-Madison (Economics)University of Michigan-Ann Arbor (Economics), Harvard Kennedy School (Public Administration)","Economics, Public Administration",Economics; Public Administration,3,US,,https://www.pmo.gov.sg/cabinet/mr-lawrence-wong,,,,,,,,,,,,,,
Ong Ye Kung,Minister for Transport,,Maris Stella High School,Raffles Junior College,London School of Economics (Economics),"Institute of Management Development, Lausanne (Business Administration)",,"London School of Economics (Economics)Institute of Management Development, Lausanne (Business Administration)","Economics, Business Administration",Economics; Business Administration,2,"UK, Swiss",,https://www.pmo.gov.sg/cabinet/mr-ong-ye-kung; https://www.facebook.com/ongyekung/posts/with-my-maris-stella-classmates-class-of-1983-1986-can-you-identify-me-from-both/937496062931663/; https://mothership.sg/2016/04/chan-chun-sing-revealed-that-he-was-rjc-schoolmates-with-ong-ye-kung-and-tan-chuan-jin/,,,,,,,,,,,,,,
Desmond Lee,Minister for National Development,Anglo-Chinese Junior School,Raffles Institution,Raffles Junior College,National University of Singapore (Law),University of Oxford (Law),,National University of Singapore (Law)University of Oxford (Law),Law,Law,2,"SG, UK",,https://www.pmo.gov.sg/cabinet/mr-desmond-lee; https://web.archive.org/web/20141205170632/http://www.parliament.gov.sg/mp/desmond-lee-ti-seng-li-zhisheng?viewcv=Desmond%20Lee,,,,,,,,,,,,,,
Josephine Teo,Minister for Manpower and Second Minister for Home Affairs,,Dunman High School,Raffles Junior College,National University of Singapore (Economics and Statistics),London School of Economics (Economics),,National University of Singapore (Economics and Statistics)London School of Economics (Economics),"Economics, Statistics","Economics, Mathematics/Statistics",2,"SG, UK",Economic Development Board Scholarship,https://www.pmo.gov.sg/cabinet/mrs-josephine-teo; https://news.nus.edu.sg/happy-90th-arts-and-social-sciences/,,,,,,,,,,,,,,
Indranee Rajah,"Minister in the Prime Minister’s Office, Second Minister for Finance, Second Minister for National Development",Marymount Convent Primary School,Marymount Convent Secondary School,Raffles Institution,National University of Singapore (Law),,,National University of Singapore (Law),Law,Law,1,SG,,https://web.archive.org/web/20160331225545/http://www.c3a.org.sg/Learning_contect.do?id=2725; http://www.parliament.gov.sg/docs/default-source/default-document-library/cv---indranee-rajah-(5-july-2018)_el.docx?sfvrsn=0,,,,,,,,,,,,,,
Mohamad Maliki Osman,"Minister in the Prime Minister's Office, Second Minister for Education, Second Minister for Foreign Affairs",Duchess Primary School,Dunearn Secondary Technical School,First Toa Payoh Secondary School,National University of Singapore (Social Work),National University of Singapore (Social Work),University of Illinois at Urbana-Champaign (Social Work),National University of Singapore (Social Work)National University of Singapore (Social Work)University of Illinois at Urbana-Champaign (Social Work),Social Work,Social Work,3,"SG, US",,https://web.archive.org/web/20120712090935/http://www.parliament.gov.sg/mp/mohamad-maliki-bin-osman?viewcv=Mohamad%20Maliki%20Bin%20Osman,,,,,,,,,,,,,,
Edwin Tong,"Minister for Culture, Community and Youth; Second Minister for Law",,St Joseph's Institution,Raffles Junior College,National University of Singapore (Law),,,National University of Singapore (Law),Law,Law,1,SG,,https://www.pmo.gov.sg/cabinet/mr-edwin-tong,,,,,,,,,,,,,,
Tan See Leng,Minister in the Prime Minister's office; Second Minister for Manpower;  Second Minister for Trade and Industry,Monk's Hill Primary School,Monk's Hill Secondary School,National Junior College,"National University of Singapore (Medicine, Surgery)","National University of Singapore (Medicine), University of Chicago (Business Administration)",,"National University of Singapore (Medicine, Surgery)National University of Singapore (Medicine), University of Chicago (Business Administration)","Medicine, Surgery, Business Administration",Medicine; Business Administration,3,"SG, US",,https://www.pmo.gov.sg/cabinet/Dr-TAN-See-Leng; https://www.thepeakmagazine.com.sg/interviews/the-peak-interview-the-good-doctor/,,,,,,,,,,,,,,
